Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
55,2023-08-08 14:33:08.462256,826.8125,99.2004097534077,221.976790824077,86.61
56,2023-08-08 14:33:09.458336,869.357142857143,104.304887496839,231.8284328689,86.61
57,2023-08-08 14:33:10.461784,831.75,99.7928076950903,223.120118851524,86.61
58,2023-08-08 14:33:11.449399,887.25,106.230768309766,235.545382837849,86.7
61,2023-08-08 14:33:14.466169,835.166666666667,88.8055293005671,201.914671550095,92
67,2023-08-08 14:33:20.524590,788.214285714286,95.1838636451605,214.22485683516,86.33
68,2023-08-08 14:33:21.510181,798.166666666667,95.3447195735734,214.535308776997,86.8
70,2023-08-08 14:33:23.581974,854.666666666667,102.708288858009,228.746997495958,86.54
71,2023-08-08 14:33:24.526433,867.833333333333,104.266475234459,231.754297202507,86.55
73,2023-08-08 14:33:26.597009,874.5,105.067446812984,233.300172349059,86.55
74,2023-08-08 14:33:27.609992,919.4,110.487520408799,243.760914388983,86.54
76,2023-08-08 14:33:29.567250,886.333333333333,106.341679455463,235.759441349044,86.61
77,2023-08-08 14:33:30.544845,870.583333333333,104.403781553537,232.019298398327,86.63
38,2023-08-08 15:05:47.868632,713.6111111111111,2.3843466574596914,-102.70821095110279,519.0
39,2023-08-08 15:05:48.879606,751.2777777777778,6.284856484235575,-95.18022698542534,328.0
42,2023-08-08 15:05:51.886057,771.9,5.606840779958677,-96.48879729467976,352.0
43,2023-08-08 15:05:52.875107,843.4285714285714,7.41758169275619,-92.99406733298055,319.9
44,2023-08-08 15:05:53.852812,807.7222222222222,95.71274196038311,77.4155919835394,87.15
45,2023-08-08 15:05:54.926255,728.0,86.22630913403108,59.106776628679995,87.17
46,2023-08-08 15:05:55.913185,763.7142857142857,90.51870094086394,67.3910928158674,87.14
47,2023-08-08 15:05:56.928934,704.6428571428571,83.40240870778072,53.6566488060168,87.2
48,2023-08-08 15:05:57.927366,737.1666666666666,87.25196742698425,61.0862971340796,87.2
49,2023-08-08 15:05:58.924348,699.9375,82.88349234964419,52.65514023481328,87.18
50,2023-08-08 15:05:59.891437,719.7083333333334,85.18557728726539,57.09816416442217,87.2
51,2023-08-08 15:06:00.907874,790.8684210526316,93.80170159575063,73.72728407979871,87.11
52,2023-08-08 15:06:01.910452,826.8809523809524,97.8706623420347,81.58037832012698,87.2
53,2023-08-08 15:06:02.892064,858.4,101.81134877357032,89.1859031329907,87.11
54,2023-08-08 15:06:03.945232,808.9166666666666,95.8103002248214,77.6038794339053,87.17
55,2023-08-08 15:06:04.938332,833.3823529411765,98.6401762329374,83.0655401295692,87.2
56,2023-08-08 15:06:05.931377,823.9285714285714,97.65555699147639,81.1652249935494,87.14
57,2023-08-08 15:06:06.964201,785.8333333333334,92.99088547321438,72.16240896330372,87.21
58,2023-08-08 15:06:07.932429,721.9375,85.50825006929885,57.720922633746795,87.17
